Disease,Description,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Workouts,Medication
Carpal tunnel syndrome,"Carpal tunnel syndrome is a condition caused by compression of the median nerve in the wrist, leading to numbness, tingling, and weakness in the hand and fingers.","['Anti-inflammatory foods (turmeric, ginger)', 'Omega-3 fatty acids (chia seeds, salmon)', 'Magnesium-rich foods (spinach, almonds)', 'Vitamin B6-rich foods (bananas, poultry)', 'Avoid excess caffeine and sugar']",Take frequent hand breaks,Use wrist splints,Avoid repetitive motions,Do stretching exercises,"[""Wrist stretching: Relieve nerve pressure"", ""Hand-strengthening exercises: Use putty or bands"", ""Avoid repetitive strain: Modify activities"", ""Yoga: Helps with posture and nerve health""]","['Wrist splint', 'NSAIDs', 'Corticosteroid injections', 'Gabapentin (if nerve pain)', 'Surgical decompression (if severe)']"
Nose disorder,"Nose disorders include structural or inflammatory issues such as deviated septum, nasal polyps, or rhinitis, causing congestion, breathing difficulty, or nosebleeds.","['Hydration', 'Vitamin C-rich foods (citrus, strawberries)', 'Zinc-rich foods (meat, seeds)', 'Avoid allergens and irritants', 'Warm fluids and anti-inflammatory foods (ginger, honey)']",Avoid nose picking,Keep nasal passages moist,Use saline sprays,Avoid irritants and allergens,"[""Breathing techniques: Nasal breathing focus"", ""Indoor cycling: Low impact on facial pressure"", ""Avoid inversion poses: Prevent sinus pressure"", ""Gentle cardio: Avoid dry, dusty air""]","['Nasal decongestants (e.g., Oxymetazoline)', 'Antihistamines', 'Saline nasal spray', 'Intranasal corticosteroids', 'Antibiotics (if bacterial infection)']"
Dental caries,"Dental caries (tooth decay) is the destruction of tooth enamel due to acids produced by bacteria feeding on sugars, leading to cavities, tooth pain, and infection if untreated.","['Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (fatty fish, fortified cereals)', 'Limit sugary and sticky foods', 'Crunchy fruits and vegetables (apples, carrots)', 'Green tea']",Brush twice daily,Limit sugar intake,Visit dentist regularly,Floss daily,"[""Hydration focus: Water during exercise to reduce acid"", ""Avoid sugary drinks: During workouts"", ""Regular workouts: Support overall oral health"", ""No intense jaw activities: Prevent further damage""]","['Fluoride toothpaste or gel', 'Dental fillings', 'Chlorhexidine mouth rinse', 'Analgesics for pain', 'Root canal therapy (if advanced)']"
Hypertensive heart disease,"Hypertensive heart disease includes conditions caused by chronic high blood pressure, such as heart failure, thickened heart muscle, or coronary artery disease.","['Low-sodium diet (avoid processed foods)', 'Potassium-rich foods (bananas, sweet potatoes)', 'Omega-3 fatty acids (salmon, walnuts)', 'Whole grains (brown rice, oats)', 'Limit saturated fats (butter, fatty meats)']",Reduce salt intake,Monitor blood pressure,Exercise regularly,Take antihypertensive medication,"[""Walking: Low-impact and heart-friendly"", ""Swimming: Great cardiovascular activity"", ""Breathing techniques: Reduce stress-induced spikes"", ""Avoid heavy lifting: Prevent blood pressure surges""]","['ACE inhibitors (e.g., Lisinopril)', 'Beta-blockers (e.g., Metoprolol)', 'Diuretics (e.g., Furosemide)', 'Calcium channel blockers (e.g., Amlodipine)', 'Lifestyle modification']"
Seasonal allergies (hay fever),"Seasonal allergies, or hay fever, are allergic reactions to airborne allergens like pollen, causing sneezing, nasal congestion, itchy eyes, and throat irritation, often during specific seasons.","['Quercetin-rich foods (onions, apples)', 'Vitamin C-rich foods (citrus fruits)', 'Omega-3 fatty acids (flaxseeds, fish)', 'Probiotics (yogurt, kimchi)', 'Avoid allergens']",Keep windows closed during high pollen,Shower after being outdoors,Use air purifier,Take antihistamines,"[""Indoor workouts: Avoid pollen exposure"", ""Yoga: Manage immune and stress response"", ""Treadmill walking: Allergy-safe cardio"", ""Wear a mask outdoors: If walking outside""]","['Oral antihistamines (e.g., Cetirizine)', 'Intranasal corticosteroids (e.g., Fluticasone)', 'Leukotriene receptor antagonists (e.g., Montelukast)', 'Nasal saline rinses', 'Allergy immunotherapy']"
Fungal infection of the hair,"Fungal infection of the hair, or tinea capitis, is a scalp infection caused by dermatophyte fungi, resulting in scaly patches, hair loss, and sometimes black dots or swelling.","['Antifungal foods (garlic, coconut oil)', 'Probiotics (yogurt, kefir)', 'Vitamin E-rich foods (nuts, seeds)', 'Zinc-rich foods (beef, pumpkin seeds)', 'Avoid sugar and processed foods']",Keep scalp dry and clean,Avoid sharing personal items,Use antifungal shampoo,Maintain proper hygiene,"[""Avoid shared gym equipment: Prevent spread"", ""Indoor yoga: No sweat-heavy environments"", ""Dry scalp after workouts: Prevent fungus growth"", ""Low-sweat activities: Reduce moisture""]","['Griseofulvin (oral)', 'Terbinafine (oral)', 'Ketoconazole shampoo', 'Selenium sulfide shampoo', 'Itraconazole']"
Rectal disorder,"Rectal disorders include conditions affecting the rectum such as hemorrhoids, fissures, or prolapse, often causing pain, bleeding, or difficulty during bowel movements.","['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Avoid spicy and processed foods', 'Probiotics (yogurt, sauerkraut)', 'Limit caffeine and alcohol']",Eat a high-fiber diet,Drink plenty of water,Avoid straining during bowel movements,Use sitz baths,"[""Walking: Supports digestion and circulation"", ""Pelvic floor exercises: Strengthen rectal support"", ""Avoid cycling: Prevent irritation"", ""Gentle yoga: Focus on posture and breathing""]","['Hydrocortisone suppositories', 'Laxatives (e.g., Lactulose)', 'Fiber supplements', 'Sitz baths', 'Surgical intervention (e.g., hemorrhoidectomy if needed)']"
Stye,"A stye is a red, painful lump near the edge of the eyelid caused by a bacterial infection of an oil gland, often resolving on its own or with warm compresses.","['Vitamin A-rich foods (carrots, sweet potatoes)', 'Vitamin C-rich foods (citrus)', 'Hydration', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Avoid eye irritants']",Apply warm compress,Avoid touching or squeezing,Maintain eyelid hygiene,Discontinue eye makeup temporarily,"[""Avoid swimming: Prevent bacteria exposure"", ""Low-intensity workouts: No eye rubbing or strain"", ""Clean face post-exercise: Prevent infection"", ""Avoid hot yoga: May worsen swelling""]","['Warm compresses', 'Topical antibiotic ointment (e.g., Erythromycin)', 'Oral antibiotics (if spreading)', 'Pain relievers', 'Incision and drainage (if abscess forms)']"
Heart attack,"A heart attack (myocardial infarction) occurs when blood flow to part of the heart is blocked, leading to chest pain, shortness of breath, nausea, and potentially life-threatening damage to heart muscle.","['Low-sodium diet (vegetables, fresh fruits)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Whole grains (brown rice, oats)', 'Lean proteins (chicken, beans)', 'Limit saturated and trans fats (processed foods, fried foods)']",Take prescribed medication,Avoid stress,Eat heart-healthy diet,Monitor cholesterol and BP,"[""Cardiac rehabilitation: Doctor-supervised program"", ""Walking: Most recommended early-stage workout"", ""Stationary cycling: Low-impact cardio"", ""Avoid high-intensity training: Until medically cleared""]","['Aspirin', 'Nitroglycerin', 'Beta-blockers (e.g., Metoprolol)', 'ACE inhibitors', 'Thrombolytics or PCI (percutaneous coronary intervention)']"
Obstructive sleep apnea (OSA),"OSA is a sleep disorder where the throat muscles intermittently relax and block the airway, causing repeated pauses in breathing during sleep and leading to poor rest and fatigue.","['Weight management diet (calorie control)', 'Avoid alcohol and sedatives', 'High-fiber foods (whole grains, fruits)', 'Avoid heavy meals before bedtime', 'Hydration']",Maintain healthy weight,Use CPAP machine if prescribed,Avoid alcohol before bedtime,Sleep on your side,"[""Weight management exercises: Walking, swimming"", ""Breathing training: Strengthen airway muscles"", ""Yoga: Improve breathing and sleep quality"", ""Avoid late-night workouts: Prevent sleep disruption""]","['CPAP (Continuous Positive Airway Pressure)', 'Weight loss', 'Mandibular advancement device', 'Modafinil (for residual sleepiness)', 'Surgery (e.g., UPPP, if indicated)']"
Psoriasis,"Psoriasis is a chronic autoimmune skin condition causing rapid skin cell growth that results in thick, scaly, red patches, often on the elbows, knees, or scalp.","['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (salmon, walnuts)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Avoid gluten if sensitive', 'Hydration']",Keep skin moisturized,Avoid triggers like stress,Use prescribed creams,Avoid scratching,"[""Swimming in saltwater: May soothe skin"", ""Moderate aerobic activity: Supports immune system"", ""Stretching and yoga: Gentle on skin"", ""Avoid hot/sweaty environments: Prevent flare-ups""]","['Topical corticosteroids', 'Vitamin D analogs (e.g., Calcipotriol)', 'Methotrexate', 'Biologics (e.g., Adalimumab)', 'Phototherapy (UVB)']"
Arthritis of the hip,"Arthritis of the hip involves inflammation and degeneration of the hip joint cartilage, leading to pain, stiffness, and reduced mobility, commonly due to osteoarthritis.","['Anti-inflammatory foods (olive oil, turmeric, berries)', 'Omega-3 fatty acids (fish, flaxseeds)', 'Calcium-rich foods (dairy, leafy greens)', 'Vitamin D-rich foods (fortified milk, egg yolk)', 'Maintain healthy weight diet']",Do low-impact exercises,Use walking aids if needed,Maintain healthy weight,Take anti-inflammatory medication,"[""Water aerobics: Low joint impact"", ""Stretching: Maintain hip mobility"", ""Walking with support: Use cane if needed"", ""Strength training: Build support muscles around joint""]","['NSAIDs', 'Corticosteroid injections', 'Physical therapy', 'Glucosamine supplements', 'Hip replacement surgery (in advanced cases)']"
Sickle cell crisis,"Sickle cell crisis is a painful episode in people with sickle cell disease, where misshapen red blood cells block blood flow, causing severe pain, fatigue, and potential organ damage.","['Folate-rich foods (leafy greens, legumes)', 'Hydrating fluids (water, herbal teas)', 'Iron-rich foods (lean meats, beans)', 'Vitamin B6-rich foods (bananas, poultry)', 'Balanced protein intake']",Stay hydrated,Avoid extreme temperatures,Prevent infections,Take prescribed medication regularly,"[""Rest: Avoid physical stress during crisis"", ""Hydration focus: Essential during and after workouts"", ""Low-intensity stretching: Once stable"", ""Avoid high altitudes: Prevent oxygen drop""]","['Hydroxyurea', 'Folic acid', 'Pain management (e.g., Morphine)', 'IV fluids', 'Blood transfusions (if needed)']"
Otitis externa (swimmer's ear),"Otitis externa is an infection of the outer ear canal, often due to trapped water and bacteria, leading to ear pain, itching, swelling, and discharge.","['Hydration', 'Avoid irritants and allergens', 'Vitamin C-rich foods (citrus fruits, bell peppers)', 'Anti-inflammatory foods (turmeric, ginger)', 'Probiotics (yogurt, kefir)']",Dry ears after swimming,Avoid inserting objects into ears,Use prescribed ear drops,Avoid dirty water bodies,"[""Avoid swimming: Until healed"", ""Walking: Gentle, safe movement"", ""Indoor cycling: Avoid moisture exposure"", ""Protect ears: Use dry earplugs during workouts""]","['Topical antibiotic ear drops (e.g., Ciprofloxacin + Hydrocortisone)', 'Acidifying drops (e.g., Acetic acid)', 'Analgesics', 'Ear wick for deep infections', 'Avoid water exposure']"
Acute bronchiolitis,"Acute bronchiolitis is a common lower respiratory tract infection in infants, usually caused by RSV, leading to wheezing, coughing, and difficulty breathing.","['Hydration (water, herbal teas)', 'Vitamin C-rich foods (oranges, strawberries)', 'Protein-rich foods (chicken, beans)', 'Avoid dairy if mucus increases', 'Anti-inflammatory foods (ginger, turmeric)']",Keep child hydrated,Use humidifier,Avoid exposure to smoke,Monitor breathing,"[""Rest during illness: Avoid all exertion"", ""Breathing therapy: Rebuild lung strength"", ""Light walking: Only after full recovery"", ""Avoid dusty or polluted areas: Protect airways""]","['Supportive care', 'Nasal suctioning', 'Saline nebulization', 'Oxygen therapy (if hypoxic)', 'Antipyretics (e.g., Paracetamol)']"
Pyogenic skin infection,"A pyogenic skin infection is a bacterial infection of the skin that produces pus, such as abscesses, boils, or cellulitis, often caused by Staphylococcus aureus.","['Protein-rich foods (lean meat, eggs)', 'Vitamin C-rich foods (citrus fruits, kiwi)', 'Zinc-rich foods (pumpkin seeds, nuts)', 'Hydration', 'Avoid sugary and processed foods']",Keep wound clean and dry,Avoid scratching,Take prescribed antibiotics,Cover infected area,"[""Avoid shared gym equipment: Prevent spread"", ""No swimming: Until cleared"", ""Stretching at home: Avoid sweating on infected skin"", ""Use clean towels: Hygiene is key""]","['Oral antibiotics (e.g., Cephalexin, Clindamycin)', 'Topical antibiotics (e.g., Mupirocin)', 'Incision and drainage', 'Antiseptic cleansing', 'Pain management']"
Noninfectious gastroenteritis,"Noninfectious gastroenteritis refers to inflammation of the stomach and intestines not caused by infection, but by irritants like medications, alcohol, or food intolerances.","['Bland diet (bananas, rice, applesauce)', 'Hydration', 'Avoid spicy, fatty, and dairy foods', 'Probiotics (yogurt, kefir)', 'Small frequent meals']",Avoid irritant foods,Stay hydrated,Eat bland diet,Rest well,"[""Gentle walking: Only after rehydration"", ""Rest: During acute symptoms"", ""Avoid abdominal strain: Prevent discomfort"", ""Hydration focus: Replace electrolytes""]","['Antiemetics (e.g., Ondansetron)', 'Antispasmodics (e.g., Dicyclomine)', 'Probiotics', 'Hydration therapy', 'Dietary changes (BRAT diet)']"
Benign prostatic hyperplasia (BPH),"BPH is a non-cancerous enlargement of the prostate gland in older men, causing difficulty urinating, weak stream, or frequent urination, especially at night.","['Hydration', 'Limit caffeine and alcohol', 'Zinc-rich foods (pumpkin seeds, beef)', 'Tomatoes (lycopene)', 'High-fiber foods (whole grains, fruits, vegetables)']",Limit evening fluid intake,Avoid alcohol and caffeine,Empty bladder completely,Follow up with urologist,"[""Pelvic floor exercises: Improve urinary control"", ""Walking: Promotes bladder health"", ""Avoid cycling: Can worsen symptoms"", ""Stretching: Relieve pelvic tension""]","['Alpha blockers (e.g., Tamsulosin)', '5-alpha reductase inhibitors (e.g., Finasteride)', 'Tadalafil (for symptoms)', 'Surgical options (e.g., TURP)', 'Lifestyle changes']"
Spinal stenosis,"Spinal stenosis is the narrowing of the spinal canal, often due to arthritis or disc problems, leading to back pain, numbness, and weakness in the legs.","['Anti-inflammatory foods (berries, leafy greens)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Protein-rich foods (chicken, legumes)']",Avoid high-impact activities,Use walking support,Physical therapy,Take anti-inflammatory meds,"[""Flexion-based exercises: Reduce spinal pressure"", ""Stationary biking: Low back stress"", ""Water therapy: Buoyant support"", ""Avoid arching or extension exercises: Prevent nerve irritation""]","['NSAIDs', 'Physical therapy', 'Epidural steroid injections', 'Gabapentin or Pregabalin', 'Surgical decompression (e.g., laminectomy)']"
Acute bronchitis,"Acute bronchitis is inflammation of the bronchial tubes in the lungs, typically caused by a viral infection, resulting in cough, mucus production, chest discomfort, and low-grade fever.","['Hydration', 'Vitamin C-rich foods (citrus fruits, bell peppers)', 'Avoid dairy if mucus increases', 'Anti-inflammatory foods (ginger, turmeric)', 'Protein-rich foods (chicken, beans)']",Avoid smoking,Drink warm fluids,Use cough suppressants if needed,Rest and recover,"[""Breathing exercises: Aid recovery"", ""Rest: Essential during coughing phase"", ""Walking: Gradually reintroduce activity"", ""Avoid cold-air workouts: Prevent airway constriction""]","['Cough suppressants (e.g., Dextromethorphan)', 'Expectorants (e.g., Guaifenesin)', 'Bronchodilators (if wheezing)', 'NSAIDs', 'Antibiotics (only if bacterial suspected)']"
Croup,"Croup is a viral infection that causes swelling of the airway in young children, leading to a barking cough, hoarseness, and difficulty breathing, often worse at night.","['Hydration', 'Humidified air', 'Vitamin C-rich foods (oranges, strawberries)', 'Avoid dairy if mucus worsens', 'Soft, easy to swallow foods (soups, smoothies)']",Use humidified air,Keep child calm,Encourage fluid intake,Seek medical help for breathing difficulty,"[""Rest: Until breathing improves"", ""Steam inhalation: Open airways"", ""Avoid exertion: May worsen symptoms"", ""Gentle play: Indoors and calm once recovering""]","['Dexamethasone (oral or IM)', 'Nebulized epinephrine', 'Humidified air', 'Antipyretics', 'Hydration']"
Idiopathic excessive menstruation,Idiopathic excessive menstruation refers to abnormally heavy or prolonged menstrual bleeding without an identifiable underlying medical cause.,"['Iron-rich foods (spinach, red meat)', 'Vitamin C-rich foods (oranges, bell peppers)', 'Hydration', 'Avoid caffeine and alcohol', 'High-fiber foods (whole grains, fruits)']",Use sanitary protection,Monitor blood loss,Iron-rich diet,Consult gynecologist,"[""Yoga: Eases cramps and bleeding"", ""Walking: Low-impact movement"", ""Pelvic floor workouts: Support reproductive organs"", ""Avoid intense cardio: Prevent symptom worsening""]","['Tranexamic acid', 'NSAIDs (e.g., Mefenamic acid)', 'Oral contraceptives', 'Levonorgestrel-releasing IUD', 'Iron supplements']"
Ear drum damage,"Ear drum damage (tympanic membrane perforation) is a tear or hole in the eardrum due to infection, injury, or loud noise, which may cause pain, hearing loss, or drainage.","['Protein-rich foods (lean meats, eggs)', 'Vitamin C-rich foods (citrus, broccoli)', 'Zinc-rich foods (shellfish, pumpkin seeds)', 'Hydration', 'Avoid irritants']",Avoid water entry into ear,Don’t insert objects into ear,Use ear drops as prescribed,Follow up with ENT,"[""Avoid swimming and underwater sports"", ""Walking: Safe and low-impact"", ""Stretching: Avoid head-down positions"", ""Protect ears from loud music/explosive sports""]","['Antibiotic ear drops (if infection)', 'Oral antibiotics (if needed)', 'Avoid water entry', 'Pain relief (e.g., Acetaminophen)', 'Tympanoplasty (if persistent perforation)']"
Temporary or benign blood in urine,"Temporary or benign hematuria is the presence of blood in the urine without a serious underlying cause, sometimes triggered by exercise, medications, or mild infections.","['Hydration', 'Avoid irritants (spicy foods, caffeine)', 'Balanced diet with fruits and vegetables', 'Limit sodium and processed foods', 'Consult doctor for specific recommendations']",Stay hydrated,Avoid strenuous activity,Avoid certain medications (as advised),Follow up with doctor,"[""Walking: Low strain on kidneys"", ""Hydration before and after: Support urinary health"", ""Avoid heavy lifting: Prevent internal pressure"", ""Gentle stretching: Support circulation""]","['Hydration therapy', 'Avoid strenuous exercise', 'Adjust anticoagulants (if relevant)', 'Monitor kidney function', 'Reassurance and follow-up']"
Common cold,"The common cold is a viral infection of the upper respiratory tract, typically causing sneezing, sore throat, nasal congestion, cough, and mild fever.","['Hydration (water, herbal teas)', 'Vitamin C-rich foods (citrus, kiwi)', 'Zinc-rich foods (nuts, seeds)', 'Chicken soup', 'Avoid dairy if mucus increases']",Drink plenty of fluids,Rest well,Use nasal decongestants,Practice good hygiene,"[""Rest: Essential during acute phase"", ""Gentle yoga: After fever subsides"", ""Walking: Once energy returns"", ""Breathing exercises: Open airways""]","['Paracetamol', 'Ibuprofen', 'Decongestants (e.g., Pseudoephedrine)', 'Antihistamines', 'Cough syrups (e.g., Dextromethorphan)']"
Depression,"Depression is a mental health disorder characterized by persistent sadness, loss of interest or pleasure, fatigue, and changes in sleep or appetite, significantly impacting daily life.","['Omega-3 fatty acids (salmon, walnuts)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Complex carbs (whole grains, legumes)', 'Folate-rich foods (leafy greens, beans)', 'Limit processed sugars and caffeine']",Maintain social connection,Follow treatment plan,Get regular exercise,Avoid alcohol and drugs,"[""Aerobic exercise: Boosts mood via endorphins"", ""Yoga: Mind-body balance"", ""Group activities: Enhance motivation"", ""Walking in nature: Proven to reduce symptoms""]","['SSRIs (e.g., Sertraline, Escitalopram)', 'SNRIs (e.g., Venlafaxine)', 'Atypical antidepressants (e.g., Bupropion)', 'Cognitive Behavioral Therapy (CBT)', 'Psychotherapy']"
Idiopathic irregular menstrual cycle,"Idiopathic irregular menstrual cycle refers to inconsistent or unpredictable menstrual periods without a clear medical cause, often linked to hormonal imbalance.","['Balanced diet with protein (chicken, beans)', 'Iron-rich foods (spinach, lentils)', 'Vitamin B6-rich foods (bananas, poultry)', 'Hydration', 'Avoid caffeine and high sugar foods']",Keep menstrual diary,Maintain healthy weight,Reduce stress,Consult a gynecologist,"[""Moderate aerobic workouts: Regulate hormones"", ""Yoga: Balance endocrine function"", ""Strength training: Improves metabolic health"", ""Avoid excessive exercise: Can disrupt cycles""]","['Combined oral contraceptives', 'Progestins', 'Metformin (if PCOS-related)', 'Lifestyle modification', 'Clomiphene (for ovulation induction)']"
Schizophrenia,"Schizophrenia is a severe psychiatric disorder involving distortions in thinking, perception, emotions, language, and behavior, often with hallucinations or delusions.","['Omega-3 fatty acids (fish, flaxseeds)', 'Complex carbs (whole grains, vegetables)', 'Vitamin B-complex foods (eggs, nuts)', 'Antioxidant-rich foods (berries, citrus)', 'Limit caffeine and processed foods']",Adhere to medication,Avoid substance abuse,Attend therapy sessions,Build a support network,"[""Structured group workouts: Promote social interaction"", ""Walking or jogging: Boosts brain chemicals"", ""Tai chi: Improves focus and calm"", ""Avoid sensory overload: Choose quiet environments""]","['Antipsychotics (e.g., Risperidone, Olanzapine)', 'Clozapine (treatment-resistant cases)', 'Cognitive behavioral therapy', 'Long-acting injectables', 'Psychosocial support']"
Sepsis,"Sepsis is a life-threatening response to infection where the body’s immune system causes widespread inflammation, leading to tissue damage, organ failure, and possibly death.","['High-protein foods (eggs, lean meat)', 'Hydration', 'Vitamin C and zinc-rich foods (citrus fruits, pumpkin seeds)', 'Balanced electrolyte intake', 'Consult doctor for specific nutritional support']",Seek urgent medical care,Follow antibiotic regimen,Monitor temperature & vitals,Maintain good hygiene,"[""Rest and rehabilitation: After acute phase"", ""Gentle walking: Gradual rebuilding"", ""Physical therapy: Restore strength"", ""Avoid overexertion: Recovery can be long-term""]","['IV broad-spectrum antibiotics (e.g., Piperacillin-tazobactam)', 'IV fluids', 'Vasopressors (e.g., Norepinephrine)', 'Oxygen therapy', 'Source control (e.g., drainage of abscess)']"
Cholecystitis,"Cholecystitis is inflammation of the gallbladder, often due to gallstones, causing severe upper abdominal pain, fever, nausea, and tenderness.","['Low-fat diet (lean proteins, vegetables)', 'Avoid fried and fatty foods', 'High-fiber foods (whole grains, fruits)', 'Hydration', 'Small frequent meals']",Avoid fatty foods,Stay hydrated,Follow up for imaging/tests,Take antibiotics as prescribed,"[""Gentle movement: After inflammation resolves"", ""Avoid high-fat pre-workout meals"", ""Walking: Improves digestion"", ""Avoid core strain: Prevent gallbladder pressure""]","['IV antibiotics (e.g., Ceftriaxone + Metronidazole)', 'Pain relievers (e.g., Morphine)', 'IV fluids', 'NPO (nothing by mouth)', 'Cholecystectomy (surgical removal of gallbladder)']"
Cystitis,"Cystitis is inflammation of the bladder, usually from a bacterial infection, leading to frequent, painful urination and lower abdominal discomfort.","['Hydration (water, cranberry juice)', 'Avoid caffeine and alcohol', 'Vitamin C-rich foods (oranges, strawberries)', 'Probiotics (yogurt, kefir)', 'Avoid spicy and acidic foods']",Drink cranberry juice or water,Urinate frequently,Avoid irritants like caffeine,Wipe front to back,"[""Walking: Safe and bladder-friendly"", ""Hydration focus: Before and after"", ""Pelvic floor exercises: Improve control"", ""Avoid workouts that cause dehydration""]","['Nitrofurantoin', 'Trimethoprim-sulfamethoxazole', 'Fosfomycin', 'Phenazopyridine (for pain relief)', 'Hydration']"
Hemorrhoids,"Hemorrhoids are swollen veins in the anus or rectum that cause pain, itching, bleeding, or discomfort during bowel movements.","['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Avoid straining and constipation', 'Limit caffeine and alcohol', 'Probiotics (yogurt, kimchi)']",Eat fiber-rich foods,Avoid prolonged sitting,Stay hydrated,Use sitz baths,"[""Walking: Reduces pressure on rectal veins"", ""Kegel exercises: Improve blood flow"", ""Avoid heavy lifting: Prevent flare-ups"", ""Gentle yoga: Especially pelvic-friendly poses""]","['Topical hydrocortisone cream', 'Witch hazel pads', 'Stool softeners (e.g., Docusate)', 'Sitz baths', 'Surgical procedures (e.g., rubber band ligation)']"
Contact dermatitis,"Contact dermatitis is a skin inflammation caused by exposure to an irritant or allergen, resulting in redness, itching, blisters, or dryness.","['Avoid allergenic foods', 'Anti-inflammatory foods (turmeric, ginger)', 'Hydrating fluids', 'Vitamin E-rich foods (nuts, seeds)', 'Probiotics (fermented foods)']",Identify and avoid allergen,Use fragrance-free products,Apply soothing lotion,Wear gloves when needed,"[""Avoid sweating heavily: Can irritate skin"", ""Indoor stretching: Cool and dry"", ""Use breathable clothing: During workouts"", ""Clean skin after exercise: Prevent flare-ups""]","['Topical corticosteroids (e.g., Hydrocortisone)', 'Oral antihistamines', 'Moisturizers', 'Avoidance of allergen/irritant', 'Oral corticosteroids (if severe)']"
Sinus bradycardia,"Sinus bradycardia is a slower than normal heart rate originating from the sinus node, which may be normal in athletes or caused by medications or medical conditions.","['Balanced diet with adequate electrolytes (potassium from bananas, magnesium from nuts)', 'Hydration', 'Limit caffeine and alcohol', 'Whole grains and lean proteins', 'Consult cardiologist']",Avoid excessive physical strain,Regular cardiac monitoring,Follow-up with cardiologist,Manage electrolyte balance,"[""Light aerobic activity: Walking or slow cycling"", ""Warm-up and cool-down: Essential to prevent dizziness"", ""Breathing exercises: Support heart rhythm"", ""Avoid overexertion: Monitor heart rate""]","['Atropine (acute cases)', 'Temporary or permanent pacemaker (if symptomatic)', 'Adjust medications (if drug-induced)', 'Isoproterenol infusion (if needed)', 'Monitor ECG']"
Pelvic inflammatory disease,"Pelvic inflammatory disease (PID) is an infection of the female reproductive organs, often caused by sexually transmitted bacteria, leading to abdominal pain, fever, and abnormal discharge.","['Hydration', 'Protein-rich foods (chicken, beans)', 'Vitamin C-rich foods (citrus fruits)', 'Avoid irritants and processed foods', 'Probiotics (yogurt, kefir)']",Complete full course of antibiotics,Avoid sexual activity during treatment,Practice safe sex,Attend follow-up appointments,"[""Pelvic floor strengthening: Aid recovery"", ""Walking: Supports circulation"", ""Avoid high-impact sports: Prevent discomfort"", ""Gentle yoga: Pelvic-friendly movements""]","['Ceftriaxone + Doxycycline + Metronidazole', 'Pain relievers', 'Hospitalization (for severe cases)', 'Partner treatment', 'Abstain from intercourse during treatment']"
Liver disease,"Liver disease refers to a range of disorders affecting the liver, such as hepatitis, fatty liver, or cirrhosis, potentially causing jaundice, fatigue, and liver dysfunction.","['Low sodium diet (avoid processed foods)', 'High-protein foods (eggs, lean meats)', 'Vitamin-rich foods (leafy greens, fruits)', 'Avoid alcohol and saturated fats', 'Hydration']",Avoid alcohol,Follow a liver-friendly diet,Get vaccinated for hepatitis,Monitor liver function tests,"[""Walking: Promotes liver circulation"", ""Avoid strenuous workouts: Can worsen fatigue"", ""Strength training (light): Improve muscle mass"", ""Avoid alcohol-based environments (gyms with bars etc.): Stay safe""]","['Lactulose (for hepatic encephalopathy)', 'Diuretics (e.g., Spironolactone)', 'Vitamin K (if coagulopathy)', 'Ursodeoxycholic acid', 'Antivirals (e.g., Tenofovir for HBV)']"
Chronic constipation,"Chronic constipation is a long-term condition characterized by infrequent or difficult bowel movements, often accompanied by abdominal discomfort or bloating.","['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Probiotics (yogurt, kimchi)', 'Limit processed and fatty foods', 'Regular meals and physical activity']",Increase fiber intake,Exercise regularly,Stay hydrated,Avoid delaying bowel movements,"[""Walking: Stimulates bowel movement"", ""Yoga: Helps with digestion"", ""Core-focused stretching: Gently activates abdomen"", ""Hydration pre- and post-workout: Key support""]","['Laxatives (e.g., Polyethylene glycol)', 'Stool softeners (e.g., Docusate)', 'Fiber supplements (e.g., Psyllium)', 'Osmotic agents (e.g., Lactulose)', 'Prokinetics']"
Skin polyp,"A skin polyp (skin tag) is a small, benign growth of skin that typically appears in areas where skin rubs together, like the neck, armpits, or groin.","['Balanced diet with antioxidants (berries, leafy greens)', 'Vitamin A-rich foods (carrots, sweet potatoes)', 'Hydration', 'Avoid processed and fried foods', 'Omega-3 fatty acids (fish, flaxseeds)']",Avoid irritation or injury to area,Monitor size and appearance,Don’t self-remove,Seek medical evaluation,"[""Avoid friction-prone exercises: Prevent irritation"", ""Wear soft, non-abrasive clothing"", ""Gentle yoga or walking"", ""Monitor any changes during workout routines""]","['Cryotherapy', 'Electrosurgical removal', 'Snare excision', 'Topical anesthesia', 'Histopathology (to rule out malignancy)']"
